sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_index_et","api_index_lt","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"chandana__chandana__SplunkVersionControl__search1_1657619553.12","| rest /services/apps/local search=""disabled=0"" count=0 f=title splunk_server=local
| rename title as app
| search NOT [ | inputlookup splunkversioncontrol_globalexclusionlist ]
| table app","chandana-VirtualBox","1657619553.681492",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657530000.000000000",0,0,"1657619553.000000000",0,1657619553,17,search1,0,"1657530000.000000000","1657619553.000000000",completed,"0.116",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search3_1657619553.13","| inputlookup splunkversioncontrol_taglist | sort - tag","chandana-VirtualBox","1657619553.691136",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657530000.000000000",0,0,"1657619553.000000000",0,1657619553,0,search3,0,"1657530000.000000000","1657619553.000000000",completed,"0.067",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search2_1657619566.15","| rest splunk_server=local /servicesNS/-/git_for_splunk//data/ui/views count=0 f=title f=eai:acl*  | search eai:acl.app=""git_for_splunk""| dedup title | fields title","chandana-VirtualBox","1657619566.863289",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic",,0,0,,0,1657619566,3,search2,0,,,completed,"0.074",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search1_1657619597.17","| rest /services/apps/local search=""disabled=0"" count=0 f=title splunk_server=local
| rename title as app
| search NOT [ | inputlookup splunkversioncontrol_globalexclusionlist ]
| table app","chandana-VirtualBox","1657619597.055236",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657530000.000000000",0,0,"1657619597.000000000",0,1657619597,17,search1,0,"1657530000.000000000","1657619597.000000000",completed,"0.14100000000000001",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search3_1657619597.18","| inputlookup splunkversioncontrol_taglist | sort - tag","chandana-VirtualBox","1657619597.076301",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657530000.000000000",0,0,"1657619597.000000000",0,1657619597,0,search3,0,"1657530000.000000000","1657619597.000000000",completed,"0.057",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search2_1657619605.19","| rest splunk_server=local /servicesNS/-/git_for_splunk//data/ui/views count=0 f=title f=eai:acl*  | search eai:acl.app=""git_for_splunk""| dedup title | fields title","chandana-VirtualBox","1657619605.230075",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic",,0,0,,0,1657619605,3,search2,0,,,completed,"0.039",,,,,,,,,,,,,,,,,,,
"rt_md_1657619661.22","| metadata type=sourcetypes | search totalCount > 0","chandana-VirtualBox","1657619661.083441",1,"UI:Search",,,,,0,1657619661,0,,0,,,failed,"66.159",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search1_1657621278.100","| rest /services/apps/local search=""disabled=0"" count=0 f=title splunk_server=local
| rename title as app
| search NOT [ | inputlookup splunkversioncontrol_globalexclusionlist ]
| table app","chandana-VirtualBox","1657621278.649700",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657533600.000000000",0,0,"1657621278.000000000",0,1657621278,17,search1,0,"1657533600.000000000","1657621278.000000000",completed,"0.10200000000000001",,,,,,,,,,,,,,,,,,,
"chandana__chandana__SplunkVersionControl__search3_1657621278.101","| inputlookup splunkversioncontrol_taglist | sort - tag","chandana-VirtualBox","1657621278.667957",0,"UI:Dashboard:splunkversioncontrol_restore_dynamic","1657533600.000000000",0,0,"1657621278.000000000",0,1657621278,0,search3,0,"1657533600.000000000","1657621278.000000000",completed,"0.032",,,,,,,,,,,,,,,,,,,
"rt_md_1657621323.103","| metadata type=sourcetypes | search totalCount > 0","chandana-VirtualBox","1657621323.677003",1,"UI:Search",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
