sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1657032421.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657032421.102912",0,0,1657032421,0,0,canceled,"0.23500000000000001",,,,,,,,,,,
"1657036020.12","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657036020.306862",0,0,1657036020,0,0,canceled,"0.213",,,,,,,,,,,
"1657097220.19","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657097220.291130",0,0,1657097220,0,0,canceled,"0.219",,,,,,,,,,,
"1657104403.22","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657104403.314269",0,0,1657104403,0,0,canceled,"0.275",,,,,,,,,,,
"1657104421.23","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657104421.199396",0,0,1657104421,0,0,canceled,"0.23",,,,,,,,,,,
"1657176420.19","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657176420.945220",0,0,1657176420,0,0,canceled,"0.22",,,,,,,,,,,
"1657180020.22","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657180020.911044",0,0,1657180020,0,0,canceled,"0.224",,,,,,,,,,,
"1657183620.29","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657183620.350984",0,0,1657183620,0,0,canceled,"0.226",,,,,,,,,,,
"1657187220.50","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657187220.648241",0,0,1657187220,0,0,canceled,"0.233",,,,,,,,,,,
"1657201620.109","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1657201620.851671",0,0,1657201620,0,0,canceled,"0.295",,,,,,,,,,,
